left_dataset,right_dataset,confidence_score
63128,73265,1.0
63262,54860,0.91
65886,54860,1.0
86289,38606,1.0
87053,40400,1.0
87147,85523,0.85
87148,85523,0.85
87453,28247,0.82
87524,58356,0.8
87738,20584,1.0
87954,67887,0.93
88041,71707,0.81
88144,18243,0.91
88147,71707,0.81
88167,22971,1.0
88503,30290,1.0
88592,11648,0.89
88815,74585,1.0
88879,58356,0.8
88900,67887,0.94
89620,53875,0.92
89677,43517,0.96
90301,15232,1.0
90315,85381,1.0
90721,38004,1.0
91045,58593,0.94
91180,49521,0.93
91297,55940,0.9
91536,74652,1.0
91724,47239,0.86
91743,25352,0.8
91868,82458,1.0
91869,82458,0.91
92129,58593,0.94
92345,17093,0.91
92366,70396,1.0
92887,10545,0.89
93237,59537,0.82
93370,82564,0.94
95201,20584,0.81
95202,20584,0.81
95870,73284,0.95
96177,70396,1.0
96544,60630,1.0
96558,1577,1.0
97128,68127,1.0
97576,59833,0.86
97678,64053,1.0
97972,64053,0.91
7,15925,1.0
102,72520,1.0
304,68150,0.83
561,57448,1.0
786,13557,1.0
996,40975,1.0
1013,9384,1.0
1412,62832,1.0
1677,32634,1.0
1862,3885,1.0
2302,15925,0.83
2483,23256,0.86
2515,32634,0.84
3037,66839,1.0
3341,85537,1.0
3925,86493,0.92
4053,78494,1.0
4180,18598,0.85
4564,86700,0.93
5127,91770,0.91
5160,65142,0.8
6586,22620,0.87
6643,75049,1.0
7486,30512,0.84
7673,87491,1.0
7903,86700,0.9
8053,65142,0.8
10266,75049,1.0
11001,35717,0.93
11011,86452,1.0
11067,40280,1.0
11202,67702,0.9
11220,87491,1.0
11262,18625,1.0
12060,18625,1.0
12263,705,1.0
12814,30512,0.84
13012,73378,0.84
13224,75639,0.93
13577,33921,1.0
13903,48780,1.0
14146,73378,1.0
15229,4753,0.84
16159,85267,0.8
16763,83902,0.91
18202,78611,0.91
18765,57566,0.94
19542,59335,1.0
20491,25278,1.0
21142,57602,0.85
21146,57602,0.82
21761,25897,1.0
22675,91469,0.85
22882,32147,1.0
23464,7756,1.0
23759,16922,1.0
24035,63026,0.93
24302,63026,1.0
24892,32147,1.0
25112,56242,1.0
25413,16922,1.0
25880,55842,1.0
25881,55842,1.0
28409,25491,0.92
29329,40776,1.0
30223,52170,0.86
30240,52170,0.86
30849,92691,1.0
30851,92691,0.86
31049,73847,1.0
31360,74212,1.0
33049,26578,1.0
33069,23894,1.0
33666,88000,1.0
34434,6666,1.0
34604,54345,1.0
34859,58943,1.0
35781,18544,1.0
36034,1338,1.0
36082,67450,0.83
36684,73431,1.0
37200,19200,1.0
37201,19200,0.85
37396,81814,1.0
38228,39823,0.87
54935,80398,1.0
55510,80398,1.0
55953,4465,0.8
55979,4465,1.0
56448,88157,0.8
56475,88552,0.89
56783,11128,0.86
56837,85257,0.95
56986,55093,1.0
57127,3028,0.88
57180,88552,1.0
57253,88157,1.0
57308,16044,0.8
58032,19324,1.0
58608,84855,0.86
59259,33128,1.0
60320,52777,1.0
60353,84855,1.0
60724,37400,1.0
60856,8549,1.0
61068,29408,0.9
61246,16044,0.8
61259,16044,0.8
61870,8126,0.82
62717,92395,0.86
65226,37400,1.0
65309,19324,1.0
65486,10723,0.83
66384,86984,1.0
66819,88527,0.87
68790,51262,1.0
69204,2674,1.0
69422,5857,1.0
70201,44514,1.0
70566,18958,1.0
70643,53653,1.0
70779,86984,1.0
70817,29112,1.0
70889,30744,0.93
71281,41718,1.0
71372,5701,1.0
72331,53653,1.0
72438,74639,0.92
72616,44514,1.0
72771,59055,0.8
73094,63880,0.9
73343,62761,1.0
73983,75651,1.0
73984,75651,0.87
74857,70411,1.0
75399,86962,0.87
75494,5701,0.8
75679,11094,1.0
76429,41871,0.96
76566,52668,1.0
76677,52777,1.0
76807,86962,1.0
76848,51235,0.82
76918,56141,1.0
77587,31308,0.96
77969,46979,0.94
78340,16708,1.0
78624,29396,0.82
78853,29144,1.0
79556,67011,0.83
79557,29931,0.87
79745,80873,1.0
80199,17920,0.97
80830,12044,0.96
81436,38954,0.88
82201,62375,0.97
82538,51432,1.0
82777,82186,0.89
82919,93296,1.0
82996,13490,1.0
83289,13490,1.0
83644,36794,0.9
83742,25157,0.91
83743,25157,0.86
84249,41726,1.0
84553,31868,1.0
85100,22063,0.86
85230,21203,1.0
85392,22063,1.0
85548,71447,0.87
85600,22700,1.0
85884,76405,1.0
85909,82374,1.0
85930,62220,0.86
86014,40907,0.97
86073,40679,1.0
86122,74639,0.92
86910,19275,0.87
86911,19275,0.87
87122,79108,1.0
87123,79108,1.0
87400,50857,1.0
87403,50857,1.0
87406,67769,1.0
87420,47140,0.86
87514,57090,0.92
87514,73595,0.92
87581,94377,1.0
87834,14821,1.0
87902,66756,1.0
88149,35505,0.84
88189,90082,1.0
88191,90082,1.0
88472,21164,0.88
88605,14821,0.97
88750,64706,0.82
89012,67330,1.0
89062,32997,0.82
89275,2732,1.0
89687,32997,0.82
89742,19986,0.89
89848,44704,1.0
90108,7431,1.0
90324,25134,1.0
90370,25134,0.96
90676,19084,1.0
90677,19084,1.0
90759,53907,0.83
90760,53907,0.83
91224,6433,1.0
91351,42388,1.0
91936,16014,1.0
91936,48933,0.85
92068,26496,1.0
92260,3247,0.82
92585,14291,1.0
92945,74436,1.0
92978,5973,0.93
93743,12801,0.88
93874,696,1.0
93900,25524,1.0
94018,3247,0.82
94071,50583,1.0
94072,50583,0.84
94563,81455,1.0
95346,37501,1.0
95646,75691,0.85
96287,82646,0.94
96430,35931,0.9
96701,89260,0.91
96800,35931,0.94
97062,73983,0.85
97140,85199,0.8
97179,41991,0.82
97815,71477,0.97
676,27044,0.96
1048,45013,0.94
2108,45013,0.94
2476,13519,1.0
2477,13519,1.0
3306,20947,1.0
4535,10274,1.0
6525,20947,0.91
7779,77165,0.9
8756,32240,0.92
13107,13232,0.93
17700,22745,0.94
21668,13519,1.0
23003,53245,1.0
24672,81194,1.0
26127,81194,1.0
26297,90628,1.0
27698,87105,1.0
79,89855,0.8
310,20952,0.85
310,22611,0.85
310,77547,0.81
379,49076,1.0
379,67150,0.82
646,18176,0.8
646,79843,1.0
872,79843,0.95
1109,84991,1.0
1109,89084,0.83
1816,79051,1.0
1915,60344,0.8
1915,74475,0.8
2004,5671,1.0
2369,94442,0.86
2521,67947,1.0
2671,20952,0.85
2671,22611,0.85
2694,56391,0.91
2922,67324,1.0
3233,18176,0.8
3239,70109,1.0
3779,82705,1.0
3818,39946,1.0
4035,36130,1.0
4627,76045,0.86
4937,79731,1.0
4987,20952,0.85
4987,22611,0.85
4987,50005,0.92
5048,5671,1.0
5241,9579,1.0
5241,20952,0.82
5241,22611,0.85
5379,76045,0.86
5483,89768,1.0
5539,29279,1.0
5772,5671,1.0
6031,52398,0.98
6413,46921,0.8
6506,35614,0.81
6703,79731,0.93
6799,19614,1.0
6829,82705,1.0
6874,46921,0.8
6893,39946,1.0
7147,20952,0.85
7147,22611,0.84
7586,73340,1.0
7634,52398,1.0
8102,18176,0.8
8110,20952,0.85
8110,22611,0.85
8110,50005,0.92
8342,18176,0.8
8508,35955,1.0
8579,12507,0.93
9022,20535,0.8
9125,50695,1.0
9517,50695,1.0
10126,52075,1.0
10126,79075,0.8
10570,18176,0.8
10570,20952,0.85
10570,22611,0.84
10570,39028,0.83
10791,18176,0.8
10791,20952,0.85
10791,22611,0.84
10791,39028,0.83
11232,89084,0.83
12076,20952,0.85
